CODCANDIDATO,serie,categoria,linguagens,matematica,ciencias_humanas,ciencias_natureza,concluiu_fundamental,concluiu_medio,concluiu_prova_unica
23708844,1.0,medio,False,False,False,False,False,False,False
23708845,1.0,medio,True,True,True,True,False,True,True
23708849,1.0,medio,True,True,True,True,False,True,True
23708850,1.0,medio,False,False,False,False,False,False,False
23708851,1.0,medio,True,True,True,True,False,True,True
23708854,1.0,medio,True,True,True,True,False,True,True
23708856,1.0,medio,False,False,False,False,False,False,False
23708860,1.0,medio,False,False,False,False,False,False,False
23708861,1.0,medio,True,True,True,True,False,True,True
23708863,1.0,medio,True,True,True,True,False,True,True
23708864,1.0,medio,True,True,True,True,False,True,True
23708865,1.0,medio,True,True,True,True,False,True,True
23708874,1.0,medio,False,False,False,False,False,False,False
23708876,1.0,medio,True,True,True,True,False,True,True
23708879,1.0,medio,False,False,False,False,False,False,False
23708880,1.0,medio,True,True,True,True,False,True,True
23708882,1.0,medio,False,False,False,False,False,False,False
23708890,1.0,medio,True,True,True,True,False,True,True
23708897,1.0,medio,True,True,True,True,False,True,True
23708899,1.0,medio,False,False,False,False,False,False,False
